"","clinic","healthcare_system","year","hearing_screenings_mthly_avg","operating_expenses","expenses_per_patient"
"1",1,"Crescent Network",1952,28.801,8425333,779.4453145
"2",1,"Crescent Network",1957,30.332,9240934,820.8530296
"3",1,"Crescent Network",1962,31.997,10267083,853.10071
"4",1,"Crescent Network",1967,34.02,11537966,836.1971382
"5",1,"Crescent Network",1972,36.088,13079460,739.9811058
"6",1,"Crescent Network",1977,38.438,14880372,786.11336
"7",1,"Crescent Network",1982,39.854,12881816,978.0114388
"8",1,"Crescent Network",1987,40.822,13867957,852.3959448
"9",1,"Crescent Network",1992,41.674,16317921,649.3413952
"10",1,"Crescent Network",1997,41.763,22227415,635.341351
"11",1,"Crescent Network",2002,42.129,25268405,726.7340548
"12",1,"Crescent Network",2007,43.828,31889923,974.5803384
"13",2,"Cascade Alliance",1952,55.23,1282697,1601.056136
"14",2,"Cascade Alliance",1957,59.28,1476505,1942.284244
"15",2,"Cascade Alliance",1962,64.82,1728137,2312.888958
"16",2,"Cascade Alliance",1967,66.22,1984060,2760.196931
"17",2,"Cascade Alliance",1972,67.69,2263554,3313.422188
"18",2,"Cascade Alliance",1977,68.93,2509048,3533.00391
"19",2,"Cascade Alliance",1982,70.42,2780097,3630.880722
"20",2,"Cascade Alliance",1987,72,3075321,3738.932735
"21",2,"Cascade Alliance",1992,71.581,3326498,2497.437901
"22",2,"Cascade Alliance",1997,72.95,3428038,3193.054604
"23",2,"Cascade Alliance",2002,75.651,3508512,4604.211737
"24",2,"Cascade Alliance",2007,76.423,3600523,5937.029526
"25",3,"Juniper Hearthstone",1952,43.077,9279525,2449.008185
"26",3,"Juniper Hearthstone",1957,45.685,10270856,3013.976023
"27",3,"Juniper Hearthstone",1962,48.303,11000948,2550.81688
"28",3,"Juniper Hearthstone",1967,51.407,12760499,3246.991771
"29",3,"Juniper Hearthstone",1972,54.518,14760787,4182.663766
"30",3,"Juniper Hearthstone",1977,58.014,17152804,4910.416756
"31",3,"Juniper Hearthstone",1982,61.368,20033753,5745.160213
"32",3,"Juniper Hearthstone",1987,65.799,23254956,5681.358539
"33",3,"Juniper Hearthstone",1992,67.744,26298373,5023.216647
"34",3,"Juniper Hearthstone",1997,69.152,29072015,4797.295051
